,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
99,Rail transport,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,
100,"Buses, coaches, trams and similar public urban transport n.e.c",0.1,0.3,0.6,0.9,1.4,1.9,2.3,2.9,3.6,4.4,5.5,6.8,8.3,9.9,10.9,11.9,12.6,13.6,13.9,14.0,14.0,13.9,13.4,12.7,12.7,11.8,11.6,10.6,10.0,10.1,
101,"Underground, metro other non interurban rail services",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.6,1.1,1.7,2.0,2.2,2.6,3.0,2.9,3.7,4.1,4.5,4.8,4.9,5.1,4.9,4.8,4.7,4.4,4.0,
102,Taxis and other renting of private cars with driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.5,0.8,0.9,1.1,1.3,1.6,1.7,2.1,2.3,2.6,2.4,2.4,2.6,2.5,2.9,2.4,2.4,2.6,
103,Freight transport by road and removal services,0.2,0.7,1.4,2.2,3.2,4.4,5.5,6.9,8.4,10.2,13.0,16.3,20.0,24.3,27.3,30.9,34.1,37.9,40.4,40.1,42.2,44.3,43.9,42.9,44.2,43.7,44.6,40.6,38.7,38.1,
104,Transport via pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,
105,Water transport services,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.7,0.8,1.0,1.1,1.3,1.4,1.5,1.7,1.7,1.9,2.0,2.2,2.1,1.8,1.8,1.7,1.7,
106,Air transport services,0.1,0.3,0.5,0.8,1.3,1.8,2.4,3.1,4.0,5.1,6.8,8.7,11.0,13.6,16.2,19.3,22.2,26.2,28.5,30.2,32.7,35.5,37.4,38.4,40.0,40.1,40.7,39.8,38.3,36.9,
107,Warehousing and support services for transportation,0.1,0.3,0.5,0.8,1.2,3.0,9.2,23.1,44.5,80.3,117.6,154.3,189.1,225.8,277.4,317.3,350.5,398.9,450.7,467.3,490.3,568.1,623.9,659.3,677.3,693.5,712.6,707.5,674.2,642.5,
108,Postal and courier services,0.1,0.3,0.7,1.1,1.6,2.2,2.8,3.6,4.5,5.6,7.3,9.7,13.0,15.6,18.2,19.4,20.5,21.7,21.7,23.9,24.1,22.8,22.6,22.9,21.5,21.1,19.7,18.9,18.7,18.7,
109,Accommodation services,0.0,0.0,0.1,0.2,0.4,1.3,2.2,3.2,4.1,5.2,7.0,9.4,12.7,16.6,19.6,28.3,33.8,37.7,39.2,41.9,45.3,56.7,55.2,55.0,55.2,53.8,55.4,53.5,49.3,48.9,
110,Food and beverage serving services,0.1,0.3,0.7,1.0,1.9,5.2,8.7,12.7,17.4,22.8,29.8,40.4,55.4,72.6,85.1,123.7,135.9,150.9,169.4,179.0,186.9,215.9,212.8,217.1,221.6,217.9,218.2,221.6,206.4,189.6,
111,Publishing services,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.9,1.8,3.0,4.4,5.2,5.5,6.4,7.0,7.5,8.4,8.9,9.0,10.6,9.5,9.2,9.1,8.5,7.7,7.5,7.3,
112,"Motion picture, video and television programme production services, sound recording and music publishing",0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,1.1,1.8,2.8,3.9,4.7,5.4,6.1,7.0,7.7,8.8,9.3,10.8,10.8,10.8,11.8,11.4,11.3,11.2,10.7,10.4,
113,Programming and broadcasting services,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.9,1.0,1.1,1.2,1.4,1.5,1.5,1.7,2.0,2.7,2.9,2.7,2.5,2.9,2.4,2.5,2.4,
114,Telecommunications services,0.2,0.5,1.0,1.5,2.2,2.9,3.7,4.6,5.5,6.7,8.6,10.9,13.9,16.7,18.0,19.8,21.5,23.0,24.0,25.7,26.5,27.1,27.1,28.1,27.1,26.8,25.3,24.6,22.5,22.2,
115,"Computer programming, consultancy and related services",0.1,0.2,0.4,0.7,1.1,1.6,2.1,2.8,3.7,4.8,6.9,10.0,14.1,18.5,21.6,24.4,28.4,32.8,37.7,38.0,42.1,46.1,46.0,49.9,52.5,50.4,52.6,54.5,51.7,50.1,
116,Information services,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.6,1.0,1.4,1.9,2.3,2.6,3.1,3.6,3.5,3.6,3.9,4.0,4.5,4.8,5.1,5.3,4.6,5.0,5.2,5.0,
117,"Financial services, except insurance and pension funding",0.0,0.0,0.1,0.1,0.2,0.3,0.6,0.9,1.2,1.8,3.1,6.4,11.2,16.3,18.9,19.6,23.1,26.6,29.0,28.6,30.1,32.7,33.8,34.8,34.0,31.9,30.7,29.9,29.4,28.7,
118,Insurance & Reinsurance,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.6,1.1,2.0,3.3,4.7,5.0,5.2,6.1,6.7,6.3,5.9,6.7,7.1,7.2,7.3,7.0,6.7,6.7,6.0,7.0,6.8,
119,Pension funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,
120,Services auxiliary to financial services and insurance services,0.0,0.1,0.2,0.3,0.5,0.6,0.9,1.2,1.5,2.0,2.9,4.6,7.0,9.7,11.7,13.5,15.0,18.0,21.2,24.7,26.2,29.8,32.2,31.2,32.1,30.5,31.5,31.2,28.7,29.0,
121,"Buying and selling of own real estate: renting and operating of own or leased real estate, excluding imputed rent",0.0,0.1,0.2,0.4,0.6,0.8,0.9,1.2,1.5,2.0,2.7,3.8,5.6,7.7,9.4,10.8,11.9,13.7,15.8,19.0,18.9,21.9,23.8,26.2,25.1,23.9,23.7,23.4,23.7,24.3,
122,Real estate activities on a fee or contract basis,0.1,0.2,0.4,0.6,0.8,1.1,1.4,1.8,2.2,2.8,3.6,4.8,6.4,8.2,9.7,11.2,12.2,15.4,17.2,18.8,20.4,21.2,23.5,24.0,24.3,24.4,22.7,22.7,22.6,21.2,
123,Legal activities,0.1,0.2,0.4,0.6,0.9,1.3,1.6,2.1,2.6,3.3,4.4,6.3,8.9,11.8,13.6,14.9,17.3,19.6,20.2,20.1,21.8,24.3,23.9,24.0,23.5,22.2,23.3,22.6,22.0,21.8,
124,"Accounting, bookkeeping and auditing activities: tax consultancy",0.1,0.2,0.4,0.5,0.8,1.1,1.4,1.8,2.3,2.8,3.8,5.3,7.1,9.3,10.6,12.1,13.7,15.7,17.1,19.0,19.7,22.9,23.5,25.3,24.4,27.0,25.3,26.5,26.3,24.8,
125,Services of head offices; management consulting services,0.1,0.4,0.7,1.2,1.7,2.4,3.0,3.9,4.9,6.1,8.2,11.1,15.0,19.3,22.9,27.0,31.3,34.7,41.8,46.6,50.0,54.0,58.5,62.9,67.4,65.2,65.9,66.0,63.0,60.5,
126,Architectural and engineering services; technical testing and analysis services,0.1,0.4,0.8,1.3,1.9,2.6,3.3,4.2,5.2,6.4,8.4,11.2,14.8,18.8,21.8,24.5,28.4,32.5,36.4,38.9,40.7,42.7,44.3,46.5,48.7,48.2,48.5,44.2,45.0,45.2,
127,Scientific research and development services,0.0,0.0,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.2,1.9,2.8,3.6,4.2,4.5,5.1,6.0,6.2,7.0,7.9,8.3,8.0,8.2,8.3,8.9,8.7,8.7,8.3,8.9,
128,Advertising and market research services,0.0,0.1,0.3,0.4,0.6,0.8,1.1,1.4,1.8,2.2,3.0,4.0,5.4,6.9,8.2,9.2,10.4,11.6,12.8,13.3,14.7,15.7,17.1,18.2,17.0,17.7,16.9,16.4,15.4,14.9,
129,"Other professional, scientific and technical services",0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.3,1.7,2.1,3.0,4.2,5.9,7.7,9.2,10.6,12.4,13.3,15.4,15.4,15.8,17.4,19.0,19.5,20.2,18.8,21.2,18.7,18.8,17.5,
130,Veterinary services,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.9,1.3,1.6,1.9,2.2,2.5,2.7,3.0,3.3,3.4,4.0,4.3,4.4,4.2,4.6,4.3,4.6,4.7,5.4,
131,Rental and leasing services,0.1,0.3,0.6,1.0,1.5,2.1,2.6,3.3,4.1,5.1,6.6,8.4,10.5,12.7,14.7,16.3,17.8,19.3,20.3,19.7,19.8,21.0,21.5,21.3,20.8,21.0,19.4,18.3,18.5,17.1,
132,Employment services,0.1,0.2,0.4,0.7,1.0,1.4,1.9,2.5,3.2,4.2,6.3,10.1,15.4,21.1,25.8,28.6,32.7,38.3,44.6,42.7,47.2,51.6,58.0,58.9,61.4,60.4,61.2,64.2,58.4,54.9,
133,"Travel agency, tour operator and other reservation services and related services",0.0,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.0,1.3,1.8,2.7,3.9,5.2,6.2,6.7,7.8,8.9,9.9,10.0,11.3,12.5,13.3,13.5,13.5,13.2,13.2,12.7,11.9,11.6,
134,Security and investigation services,0.0,0.1,0.1,0.2,0.4,0.5,0.7,0.9,1.2,1.6,2.2,3.3,4.8,6.6,7.9,8.8,9.9,11.2,12.1,12.9,14.3,15.5,15.7,15.8,16.0,15.3,15.6,15.1,15.7,14.8,
135,Services to buildings and landscape,0.1,0.2,0.4,0.6,0.9,1.2,1.7,2.3,3.0,3.8,5.6,8.6,13.1,18.1,21.7,25.0,30.4,33.9,39.5,43.8,49.0,52.0,56.5,57.0,59.5,58.0,55.9,54.7,54.7,52.5,
136,"Office administrative, office support and other business support services",0.1,0.2,0.3,0.5,0.8,1.1,1.5,2.0,2.6,3.3,4.7,6.8,9.9,13.1,16.3,20.3,23.6,28.6,30.5,28.5,32.5,36.2,37.7,39.3,43.2,44.6,44.3,44.4,41.4,42.1,
137,Public administration; compulsory social security services,0.7,2.0,4.2,7.0,6.3,6.3,8.7,8.6,11.8,14.3,18.6,27.4,39.7,57.2,66.4,69.4,81.5,90.9,96.6,122.3,130.3,125.7,128.1,126.1,116.3,106.8,103.3,99.7,99.1,95.4,
138,Public defence services,0.1,0.2,0.4,0.7,0.7,0.8,1.0,1.2,1.3,1.4,2.3,2.2,3.2,4.4,4.4,4.2,4.3,4.4,5.5,5.7,6.8,6.1,5.6,5.5,5.1,4.4,3.9,3.7,4.0,3.9,
139,Education services,0.1,0.2,0.3,0.5,0.9,1.4,2.3,3.3,4.7,6.8,11.8,22.9,40.5,62.1,74.4,83.7,93.8,107.1,118.9,132.0,146.5,157.2,168.2,173.0,171.3,165.7,161.4,161.1,157.4,151.1,
140,Human health services,0.0,0.1,0.2,0.3,0.5,0.9,1.6,2.5,3.5,4.8,8.7,17.1,30.1,47.5,58.3,64.8,75.2,83.3,91.3,107.2,118.7,126.9,138.8,146.2,145.7,141.8,144.7,143.5,140.4,136.9,
141,Residential care services,0.0,0.1,0.2,0.3,0.4,0.6,1.0,1.4,1.8,2.5,4.1,7.3,11.9,17.7,21.4,23.9,27.1,31.7,33.2,35.3,40.7,46.7,49.1,49.8,51.3,48.3,45.8,46.5,46.8,43.6,
142,Social work services without accommodation,0.0,0.1,0.3,0.4,0.7,1.0,1.4,1.8,2.4,3.1,4.6,7.8,12.3,17.7,21.2,24.7,28.4,33.1,40.5,49.1,54.3,57.7,61.4,63.9,63.0,60.0,57.2,57.8,55.2,54.2,
143,"Creative, arts and entertainment services",0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,1.0,1.7,2.7,3.7,4.4,4.8,5.3,6.1,6.5,6.8,7.5,7.9,9.0,8.9,9.5,8.8,8.9,8.4,8.4,8.9,
144,"Library, archive, museum and other cultural services",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.4,0.9,1.7,2.5,3.1,3.4,4.4,4.8,5.1,5.3,6.0,6.1,6.4,6.1,6.2,6.0,6.5,6.0,6.1,6.0,
145,Gambling and betting services,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.4,2.0,2.8,3.6,4.3,4.6,5.3,5.9,6.2,5.8,7.1,7.3,7.6,7.6,7.2,6.8,6.6,6.4,6.1,5.6,
146,Sporting services and amusement and recreation services,0.0,0.1,0.2,0.4,0.6,0.8,1.1,1.5,1.9,2.4,3.5,5.4,8.4,11.6,13.7,15.2,17.7,20.3,23.4,26.2,28.7,30.3,32.0,34.0,33.3,32.8,33.7,34.5,32.2,30.7,
147,Services furnished by membership organisations,0.0,0.1,0.2,0.4,0.5,0.7,1.0,1.3,1.6,2.0,2.7,4.0,5.9,7.8,8.5,9.5,10.9,11.0,11.5,13.1,13.9,15.8,15.4,15.4,16.0,15.5,14.2,14.0,15.6,13.7,
148,Repair services of computers and personal and household goods,0.0,0.0,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.2,1.5,2.2,2.8,3.1,3.2,3.2,3.1,3.4,3.8,4.4,4.5,4.1,4.5,4.5,4.4,4.8,3.6,4.0,4.3,
149,Other personal services,0.1,0.2,0.3,0.5,0.8,1.1,1.5,2.0,2.6,3.3,4.8,7.2,10.8,14.9,17.2,18.5,21.2,23.8,26.2,26.5,27.9,28.9,29.2,31.5,29.3,28.7,28.1,27.6,24.7,25.2,
150,Services of households as employers of domestic personnel,0.0,0.0,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1.1,1.3,1.6,1.9,2.2,2.6,2.5,2.3,2.4,2.2,3.1,3.1,3.1,3.2,3.4,3.2,3.6,3.3,3.3,2.8,
151,Consumer expenditure - not travel,0.0,0.0,0.0,146.4,378.3,615.3,888.3,1146.4,1471.0,1790.2,2057.2,2332.6,2355.8,2337.7,2379.8,2436.0,2548.7,2440.6,2313.0,2176.9,2053.9,1960.0,1927.1,1893.8,1844.1,1797.1,1739.6,1673.3,1579.9,1386.1,
152,Consumer expenditure - travel,1.5,4.9,10.5,17.7,26.8,38.0,54.6,73.3,95.6,121.9,155.8,208.2,260.9,325.1,399.1,468.0,552.3,613.1,695.6,773.0,832.2,883.2,947.8,1005.0,1036.8,1075.4,1076.3,1082.2,1070.0,1027.1,
